,genes,values
675,NKX6-1,-5.285597
676,CCL3L3,-1.1066935
677,SLC16A2,-3.394561
678,PPIP5K2,-0.017122932
679,ZNF23,7.549612
680,TAF2,0.7447953
681,HDAC4,-5.0053177
682,RPS4Y1,-0.38749397
683,ESPL1,-0.012866892
684,ACKR4,-1.2745601
685,MPZL1,0.7158582
686,RNASEH2C,-0.02624765
687,WNT5A,-5.838792
688,TFPI,7.501447
689,TLX1,0.6376105
690,UGT8,0.8494624
691,LATS1,-4.6159434
692,HSD17B2,0.2607184
693,MTHFD1,1.2527376
694,KITLG,12.92717
695,RBP2,-1.0889013
696,UBXN1,0.4526884
697,MED12,-3.9256487
698,RAB22A,1.1351342
699,SLC18A2,-0.80637264
700,TOP3A,-3.8954313
701,POP1,0.5025025
702,TBC1D4,-3.8091743
703,VPS29,-1.877071
704,KAT6A,2.8195472
705,SEMA6D,-1.2159139
706,DIO2,2.9177978
707,GRIA3,-7.622885
708,BRIP1,-4.1379404
709,PTPRD,-1.3198346
710,HLA-E,-1.1048661
711,MBOAT2,-1.3363457
712,NGF,-0.7041755
713,GNG2,-7.512386
714,PLXNC1,-2.5585663
715,RPL18,0.4932499
716,CHST3,1.040657
717,CYP26B1,1.0296876
718,MEF2A,0.6320638
719,LTB4R2,0.7353842
720,RECK,1.2687839
721,SIPA1,-0.1058311
722,CCL17,-0.32133934
723,NDUFS8,10.566311
724,IL7,-11.550729
725,MALT1,6.901794
726,XPO4,-1.9254599
727,CYP2S1,1.1694914
728,HSD3B1,-7.250894
729,KCNMB3,1.7461964
730,IRS1,11.575443
731,REN,0.4648282
732,IL36RN,0.08476513
733,GLRB,-0.31371117
734,POU2F1,-6.5403523
735,SLC44A4,-0.2000926
736,B3GNT7,-2.3122954
737,REV3L,-3.2705114
738,ARHGDIB,2.4921875
739,COL23A1,2.0853493
740,AASS,3.8462963
741,RPS18,0.45654437
742,DSEL,-3.2407818
743,FOXA3,-2.5604122
744,CCNE2,-3.6494153
745,ASH1L,2.6960602
746,RPS8,-0.031773336
747,SIX4,-0.26403987
748,RPS20,0.28085086
749,MST1,-0.0629197
750,BCL11B,2.1886551
751,ACACA,-7.9359555
752,FBXO43,-0.47187492
753,TNN,1.1386604
754,ADCY3,35.4049
755,SYT1,-8.462348
756,RPL34,0.48942235
757,PGM3,3.7055018
758,KLF2,-1.9933504
759,NOTCH2,-0.39690447
760,SLC36A4,-1.4769114
761,WDR36,-0.76024336
762,ELOVL4,-2.7278895
763,GXYLT2,2.2323701
764,CBL,7.183372
765,POLK,13.906556
766,ACAP1,-2.1057637
767,TXNRD1,8.150679
768,NR1H3,1.3055238
769,AKR1B10,2.4371068
770,ORC1,0.60709137
771,ZNF880,1.4535565
772,MAFA,-5.1872363
773,KIF5A,2.0425797
774,HSPA4L,-0.88365126
775,RPL15,0.20714268
776,CHSY3,0.41522363
777,GALNT13,-1.4809209
778,RPS11,0.08679246
779,SAT2,6.1082454
780,GALE,2.7249246
781,GABRR1,0.13581036
782,WDR7,-2.1056092
783,ATG2B,-4.7656684
784,KRT31,-0.5759408
785,ULBP3,-0.94254327
786,PAPOLA,-0.28082654
787,XCL1,-1.4535246
788,ME3,-1.5277689
789,NPRL2,-5.8491826
790,PLK4,-0.8851495
791,ABCA13,1.8192743
792,SMG7,1.2478567
793,PPP2R2C,-2.3608112
794,UBE3C,3.5153842
795,RPL12,-0.03396386
796,INPP5D,9.063686
797,GLP2R,1.249883
798,PGR,0.20072927
799,NUP188,-3.7576187
800,SH3GLB2,-1.1867667
801,COL10A1,-2.404977
802,POLR3A,4.249948
803,MTMR14,-4.6534104
804,MAP3K8,13.321861
805,IPO7,1.3421214
806,FZD6,0.9105734
807,SIPA1L2,2.1594534
808,CLDN16,-4.046723
809,PRODH,0.5591359
810,MGAT2,2.1235957
811,KRIT1,-1.6711121
812,PER3,-7.9450827
813,SMG6,-0.46262506
814,IL1RAP,-2.2686465
815,EPHB3,2.6572194
816,RPL27,-0.29333895
817,CLDN8,4.1091323
818,SYNJ1,5.15318
819,CLOCK,-1.213181
820,B4GALT7,-0.9520279
821,ASAP1,1.875398
822,SEC24D,0.28395215
823,GLI2,-7.150085
824,DNA2,-0.65284896
825,ATXN1,1.6248542
826,SELP,-0.039970748
827,GABRE,-2.0818427
828,ZNF283,9.508347
829,ADH7,-0.2922205
830,ZNF845,10.53651
831,SETD7,-4.331395
832,RPL39,-0.3823745
833,DDX19A,-0.9249368
834,RPL35A,-0.2680333
835,INSL3,0.77441734
836,HOXB1,-3.4123862
837,ALB,0.5871402
838,ADCY7,-9.695196
839,TAS2R38,1.7825224
840,ALDH3A1,2.7952502
841,IL20RB,-0.7184495
842,ACVR1,7.484241
843,DKK2,-0.3607719
844,TTK,0.9381602
845,CDC25B,0.33334133
846,ZFP37,-10.584358
847,HERC3,1.6705942
848,RYR1,-15.429072
849,RB1CC1,2.8587003
850,HYAL2,3.9343174
851,ACADVL,5.0158644
852,ABLIM2,1.0611821
853,NME3,0.023097003
854,LSM7,6.8648
855,PALB2,-0.39120567
856,CREB3L1,-4.459966
857,DUSP4,-3.605227
858,CUL3,-5.8425765
859,GFPT2,4.08025
860,ZNF713,-2.3744361
861,HAP1,-4.205446
862,PIK3R2,-25.595026
863,DYNC2H1,-1.2065394
864,TJP3,-0.38442445
865,SOCS7,-4.0445123
866,ROR2,0.16294892
867,TP53INP2,5.000154
868,RPL36,-0.054249372
869,NANP,6.174842
870,SLC33A1,-1.9921861
871,CDK14,2.742789
872,ABCA12,4.8815823
873,SMO,1.7463999
874,FKBP5,-0.8852944
875,IPMK,8.665473
876,ENDOG,2.094365
877,GNL3,0.2614045
878,CTSV,4.013597
879,RPL31,0.44634834
880,CTNND2,0.43608993
881,KRT18,-1.3139672
882,IL1RL2,-0.6640338
883,NR3C1,0.20237947
884,MMP16,2.8041203
885,SCD5,3.4841154
886,COL6A3,13.987316
887,ANGPT1,-6.225123
888,P2RY6,-0.7346676
889,ZNF227,-7.7158566
890,GPX1,0.70541555
891,POFUT1,-1.9769964
892,TNFRSF4,1.992766
893,ULBP1,0.4396784
894,PFKFB2,10.091161
895,RARB,-5.246277
896,FGD1,1.0936891
897,CDON,1.304877
898,RBKS,-1.0109727
899,NDUFB1,-6.5912166
900,TEAD1,3.9966788
901,ZNF460,7.4139514
902,NFASC,-0.5666536
903,ZNF566,-0.5621595
904,MED1,-0.39663568
905,TNFRSF10C,0.8197876
906,ST3GAL4,0.45398226
907,NDUFB8,-6.6423264
908,RPS23,-0.16487657
909,TIMP3,-3.9444606
910,GREM1,4.3010783
911,GABRP,-2.7632987
912,RASAL2,0.51411
913,UTP14C,-0.48554626
914,MAD2L1,3.0323524
915,LILRA4,0.92178583
916,CERK,-0.46600223
917,CYBRD1,1.0030344
918,PTPRN,0.9035409
919,HCFC1,1.6882087
920,KMT2D,1.1391816
921,COX7C,-2.2212837
922,CYP51A1,-1.029993
923,HS3ST3A1,-1.8247683
924,GAL,0.6726164
925,RPL3,0.2896527
926,ST3GAL5,-2.111937
927,CDK6,-5.3621073
928,MAGI3,2.1177647
929,IHH,-1.0595275
930,ERBB4,3.6426504
931,PRKCD,-12.931247
932,CCL23,0.4992016
933,DES,-1.5891768
934,MDN1,0.41886184
935,CERS6,-3.341465
936,ENPP1,0.34297276
937,ADCY9,13.778136
938,OXCT1,-8.992861
939,UBR4,2.0271156
940,TSLP,-0.86619294
941,CCNA2,3.6187713
942,PTGIR,7.2324986
943,BRCA1,1.2313409
944,CAMK2B,-4.7387457
945,SIRPG,0.26430616
946,IL37,1.0753593
947,MRPL20,0.06799771
948,POU5F1,-2.4589038
949,CD3D,19.983515
950,AGAP1,2.860736
951,GPSM3,-0.451885
952,GTSE1,-2.4221435
953,PANK2,-2.2575736
954,SMPD2,-3.5490925
955,KLK1,-2.6747313
956,ZEB1,4.4213986
957,PLCG1,14.441817
958,BMP2K,1.2155249
959,TUBB2B,-1.4439497
960,HNMT,4.598218
961,SLC36A1,-0.48002008
962,RND1,-3.0907695
963,ENPP2,3.5722094
964,FGF22,2.8538046
965,PPP2R3A,-6.1058087
966,SOX2,-3.8055408
967,SEL1L,-0.16893405
968,NEIL1,-1.8105692
969,P4HA3,0.05555774
970,DCP2,-1.1011344
971,FER,-0.06946495
972,SV2A,8.712674
973,RPS9,-0.16477993
974,GDF6,2.2235947
975,STK3,3.0542338
976,GCNT2,-1.3826423
977,EXOSC7,8.049202
978,FBXO5,-2.1592772
979,NUP205,2.4451432
980,ZNF582,-7.38661
981,RAP1GAP,1.0609014
982,RAG1,0.92165065
983,ZNF484,-9.144159
984,DHX8,-0.30747178
985,RAD51D,4.106755
986,HTR7,-3.1460893
987,PAX8,-7.962409
988,DNAH3,2.1608603
989,EXTL1,3.1995292
990,RPL14,-0.39729074
991,SMG1,-0.6418035
992,ZFP92,-4.366044
993,OR10H1,5.106868
994,TNNC1,-0.1466026
995,P2RX6,-0.984902
996,HDAC10,-2.569062
