,genes,values
497,ST6GALNAC5,-1.592218
498,ARSA,-2.7369025
499,ERCC1,-7.4774666
500,MAPK10,14.321807
501,FBXO4,-0.28928167
502,ERCC8,-4.818133
503,PGR,0.36489367
504,NODAL,5.903965
505,CD68,-3.0810404
506,OR2T6,-5.258709
507,NFKBIB,-7.9812627
508,DISP1,0.06170792
509,PSAP,4.811294
510,ZNF567,1.4988256
511,MBOAT1,2.9693038
512,CAMK2A,12.199799
513,HTR2B,3.6152427
514,PCBP1,-1.2459985
515,GGT7,5.129775
516,OR7D4,-6.352161
517,GPI,-1.5174153
518,AK9,2.9948187
519,P2RY12,-3.17037
520,ABCA5,-10.732143
521,APEX2,-1.9449788
522,FBXW8,0.22289073
523,TLX3,6.2233562
524,OR10G8,-4.441072
525,GH1,1.4379563
526,MSH6,1.1990861
527,ZNF732,-0.7821056
528,ZNF208,-0.6349912
529,NEU1,10.546803
530,ZNF727,-2.1050398
531,OR9Q2,-5.829961
532,ANO2,-6.403558
533,HTR1B,13.917252
534,GRIK1,-1.3022057
535,HDAC2,5.540847
536,PIGV,-1.371899
537,OR2F1,-7.2449846
538,ACTR1B,-0.3058377
539,STAT1,-2.4873807
540,LAMB3,-3.5667121
541,GMPS,4.55415
542,OR6N2,3.6676872
543,SSTR5,-2.653289
544,FZD9,-2.2882044
545,CLDN1,-1.3132212
546,ALOX12,-3.1658766
547,PTPRB,-3.5084784
548,TYK2,5.1684604
549,MAN1A2,-2.2994032
550,SLC7A9,0.7862716
551,HTR1D,7.284007
552,HDAC9,0.017951183
553,MTMR6,0.034891628
554,ZNF540,-2.9950283
555,RPL7A,-2.1132934
556,SLC8A1,-6.785882
557,GDNF,2.593982
558,KCND2,-9.950105
559,PRKACA,-40.57392
560,PIGN,0.28374776
561,GAD2,-2.6343493
562,RET,1.0651479
563,PTEN,-1.1177704
564,SRGAP1,1.1511136
565,RPL18,8.0438385
566,VCAM1,-2.4997363
567,PTPRZ1,0.650491
568,NSD1,5.9036126
569,CD4,-14.960032
570,PRKAR2B,0.5245355
571,FEN1,-4.2409854
572,KRT25,1.4321358
573,ST3GAL2,1.0464525
574,RAB1A,-2.724526
575,CHMP7,0.654174
576,SCRIB,-0.47405398
577,MEGF8,-0.16897303
578,CNTNAP2,3.4346867
579,GCNT1,-0.032781426
580,DSPP,0.071583845
581,LMAN1,5.0750136
582,GIT1,-0.8439739
583,ZFYVE9,0.5082752
584,ZNF141,3.0391705
585,UTP14C,-1.0036222
586,AGTR1,-6.9789495
587,OR4D2,5.1123953
588,MAN1A1,-3.0185049
589,RHO,0.051891275
590,NAPSA,1.6953796
591,TRHR,-0.94246614
592,KIR2DL1,-4.6487446
593,UPF3A,2.0821178
594,FAAH,0.056491096
595,POFUT2,-2.3025477
596,ATG16L2,-0.40424082
597,OR5D14,-4.0172744
598,CHAT,1.5497943
599,GABRA1,0.45222113
600,ZFP14,1.9642707
601,TAF1,-5.2485223
602,OR1E2,-7.0854273
603,RAB3D,-0.0123094935
604,PSD,0.8184454
605,PRKAR1B,-0.7597483
606,DVL3,8.449296
607,RPS15,5.447709
608,ACSF3,9.236297
609,COASY,1.6080397
610,SDHA,-1.6055858
611,COL3A1,-7.5714025
612,CHMP4C,-0.6916983
613,FLT4,7.1649947
614,ZNF461,2.254199
615,PDGFC,2.4552958
616,KLHL13,-0.45275494
617,CELA2A,-2.049936
618,GABRA5,-0.53899544
619,SIRT5,6.629713
620,SUV39H2,1.4923339
621,ACOX3,3.168805
622,EXT2,-1.267593
623,USP1,-1.1468301
624,ZNF250,0.5843013
625,KDELR1,-1.2501572
626,PABPC1L,5.5046253
627,RCVRN,1.3178859
628,KIR2DL3,-1.3396574
629,RUNX2,-1.1904094
630,CALHM1,-4.5258174
631,HNRNPM,0.3339862
632,MLH1,-0.28934816
633,TDG,1.328141
634,NR3C1,0.11696522
635,EPN2,-1.0573827
636,FRMD6,0.32520437
637,OR11L1,-8.469719
638,SPATA13,-0.3974343
639,SUGT1,1.2514536
640,GGCX,-3.3031373
641,SLC4A4,3.1292615
642,PNPLA7,2.681013
643,SCN5A,5.570114
644,ZNF460,-0.8560859
645,MC3R,0.07620056
646,TCERG1,-0.9345023
647,HSD3B1,2.278971
648,ESRRB,-5.4679112
649,PIK3R4,0.05346054
650,ACIN1,-7.6737266
651,POM121C,-4.4119415
652,C4BPA,-4.6826496
653,GABRP,-2.6890755
654,CLOCK,2.441839
655,CFI,-1.5830784
656,ATP7A,0.010342545
657,LILRA6,-2.027715
658,GLI1,-2.5423942
659,CHRD,0.5150139
660,PLXNA4,-0.14407724
661,IFNA5,0.28302136
662,HKDC1,2.9199479
663,CD5,-0.44091982
664,OR11H1,2.0865188
665,OR6M1,-5.5163784
666,EXO1,-0.32117718
667,B3GALNT2,1.2994794
668,MSX2,-0.73445344
669,DDX19B,2.943748
670,CCKAR,1.1800361
671,OR2J2,-1.5302439
672,JUN,14.871818
673,ZNF736,-1.1014415
674,OR5H2,3.105967
675,WNT10B,6.130643
676,UBE3A,-0.10503529
677,ERC1,-1.9313056
678,LHB,-1.1230836
679,NR1D2,0.10916173
680,KRT39,-0.31425127
681,EML4,1.1407281
682,TCF7,15.660967
683,BAAT,3.5885391
684,TACR1,1.4105756
685,KIT,3.83126
686,OPRK1,0.112345375
